county_name,county_FIPS
Alameda,001
Amador,005
Butte,007
Calaveras,009
Colusa,011
Contra Costa,013
El Dorado,017
Fresno,019
Glenn,021
Imperial,025
Kern,029
Kings,031
Lake,033
Los Angeles,037
Madera,039
Marin,041
Mendocino,045
Merced,047
Modoc,049
Mono,051
Monterey,053
Napa,055
Nevada,057
Orange,059
Placer,061
Riverside,065
Sacramento,067
San Bernardino,071
San Diego,073
San Francisco,075
San Joaquin,077
San Luis Obispo,079
Santa Barbara,083
Santa Clara,085
Santa Cruz,087
Shasta,089
Siskiyou,093
Solano,095
Sonoma,097
Stanislaus,099
Sutter,101
Tehama,103
Tulare,107
Ventura,111
Yolo,113
Yuba,115
